,answers,id,questions,target_answers,score,correct
893,You must learn for pleasure and not by coercion. ,5,"The most important activity that a human being can achieve is to learn to understand, because understanding is free. Of the text it is inferred that ",It is worth a human to learn to understand. ,1.0,0.0
894,Learning to understand the world makes us free. This freedom can refer to the output of ignorance. ,5,"The most important activity that a human being can achieve is to learn to understand, because understanding is free. Of the text it is inferred that ",It is worth a human to learn to understand. ,4.5,1.0
895,"Knowledge is always to have clear ideas about some topic, so, if we do not have clarity on the subject, it is easy for someone else to influence us and makes us think what I want. ",5,"The most important activity that a human being can achieve is to learn to understand, because understanding is free. Of the text it is inferred that ",It is worth a human to learn to understand. ,3.0,0.0
896,"The understanding allows one to acquire more knowledge and, with this, expand the limits of his world. ",5,"The most important activity that a human being can achieve is to learn to understand, because understanding is free. Of the text it is inferred that ",It is worth a human to learn to understand. ,3.0,1.0
897,An illustrated person is closer to lighting. ,5,"The most important activity that a human being can achieve is to learn to understand, because understanding is free. Of the text it is inferred that ",It is worth a human to learn to understand. ,2.0,0.0
898,We can not blind ourselves and believe that there is nothing more than what we see and know ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,1.0
899,"Ignorance is not to ignore something, it is to refuse to learn what is not known. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
900,"You should learn or comment on all topics, even to know later, say you do not know from the beginning ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
901,The most ignorant is one who does not want to learn ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
902,We must be open to all kinds of knowledge ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
903,"If you do not know anything about something, listen and question what to determine if it is truthful or not. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
904,"It is never totally expert in something, there is always something new to learn ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
905,The lack of knowledge makes you prisoner of progress ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
906,Not afford ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,1.0
907,You have to value all knowledge ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
908,You have to be open to new things. You can always learn something new ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
909,"If I reject something of which I do not become more ignorant, instead if Invesitigo on that topic I will stop being what. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,1.0
910,We must open ourselves to learn about what we do not know ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
911,"We must give us the opportunity to meet new things, so I can give an opinion about these. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,1.0
912,"Negate to learn, is to fall into ignorance ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",5.0,1.0
913,The cusp of ignorance is to appear not to be. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,1.0
914,You should not judge something without trying it. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
915,"In order to decide whether to refuse or accept something, it is necessary first to know and analyze it ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
916,The biggest ignorance is when we choose not to learn. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",5.0,1.0
917,"Avoid knowing something of what you did not know, is to stay in ignorance. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
918,"The worst type of ignorance, is to choose to be ignorant. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
919,It is ignorance to reject things outside of our understanding ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
920,You should not close what you do not know ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,1.0
921,There is nothing worse than not knowing something and refusing to learn it. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
922,"If we reject something we do not know, we are losing the opportunity to learn about new things ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,1.0
923,"When knowledge is rejected on a subject you can not add knowledge, therefore is the highest level of ignorance ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
924,"When you deny the opportunity to know something you do not know, you show your greatest level of ignorance. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",5.0,1.0
925,It is imprudent not to listen to different opinions to yours ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
926,"To reject something, you must first know it. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
927,"Reject something without knowing what it is, it means wanting to continue without knowing anything. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
928,Ignorance is visible through prejudice ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,1.0
929,"The text invites us to be more open minded, with respect to the learning of new things, every day they present us opportunities to learn new things and reject power to instruct ourselves in this represents true ignorance. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
930,"The human being rejects and fears the unknown to him, without knowing if it is good or bad ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
931,"If you do not immerse yourself in what you do not know, you will never know anything ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
932,You can not comment on what is not known. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
933,"Rejecting something you do not know is worse than not knowing, because not knowing you have the opportunity to learn but if you reject something you do not know, it is the worst and the highest ignorance. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",5.0,1.0
934,"Before making a decision, he learns more than the subject of that decision ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
935,Ignore what you do not know will only make you meet less ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
936,It is inferred that sometimes for not knowing something or about something we leave it aside or reject it without knowing that it was or what benefit can that information or thing bring to your life ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
937,"By having adequate knowledge of certain things, we can decide what to do with that information; If we reject it or if we keep it. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
938,It should not be judged without knowledge ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
939,"The human is afraid of what he does not understand, this has been seen that throughout history, where man uses brute force or brutality itself to try to destroy or exclude everything that does not understand. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
940,Ignorance is to reject the unknown ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
941,We are ignorant by not wanting to know about something ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
942,Si ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",0.0,0.0
943,It is not enough to know something lightly to reject it. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
944,The greatest act of ignorance is not wanting to stop being ignorant ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
945,We can not reject what we do not have any knowledge. Doing it would indicate that we are ignorant. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
946,the person who is closed and stubborn will never be able to take a step forward ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
947,"If you do not know anything, it is better to try to know it before judging or resisted learning new things ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
948,"Ignorance, sometimes, is an election ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,1.0
949,Ignorance is reflected in a closed mind. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
950,The worst ignorance is to reuse ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
951,Not wanting to learn new knowledge is a serious mistake ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
952,Object being in ignorance is an ignorant decision. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
953,Do not try something new (or prejudge it) Show that so little you know. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,1.0
954,Ignorance is greater when we make up impossible to know what is unknown to us. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",5.0,1.0
955,We should not ignore any learning opportunity ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
956,"Rejecting something we do not know, removes the possibility of leaving ignorance. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,0.0
957,Accept to be ignorant and yet reject knowledge to stop being ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
958,Do not hear about and judge or reject ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
959,"When we closed and refused to leave our ignorance, that is the greatest evidence that our null knowledge. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
960,Not accepting something that is unknown makes you an ignorant person. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
961,Ignorance is not wanting to learn new things ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
962,"It is good to accept everything they give us, no matter that we do not have knowledge, because of it we can learn. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
963,You must know first and then reject. Do not prejudice. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
964,Ignore Learning from the unknown is condemning yourself to ignorance ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
965,There is nothing worse than one who ignores what he knows he does not know ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,1.0
966,It is ignorant when we reject things without knowing in detail. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
967,Reject is ignorant ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,1.0
968,It's true ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",0.0,0.0
969,"the ignorant rejects, the sage tries to understand ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,1.0
970,It should not be yielded ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",0.0,0.0
971,You can not have a concept of something when it is not investigated regarding that. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
972,Ignorance is reflected when new knowledge comes and rejected it even without knowing what it is. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
973,You can not judge without first meeting ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
974,It is ignorant by rejecting something about which nothing is known ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
975,We are more ignorant when we refuse to learn something that we do not know anything ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
976,Ignorant people simply shield their disconnection with rejection and evasion. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
977,"Ignorance is a state in which, who does not know of a certain topic does not want to open up to know him. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
978,You can not refuse something without knowing that it is ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
979,"Nothing is absolute, everything is changing, affirming to know everything is impossible and only defines you as a narrow mind. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
980,"Ignorance is not not to know only, but pretend that if you know something. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
981,It is always good to learn new things. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
982,By not being willing to learn or accept something new you are being completely igborante ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
983,Not understand something without even having an interest to get to understand it is worse than having a wrong concept about something ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
984,"First we have to learn, know and understand to leave ignorance behind ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
985,We are negandos to learn ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
986,It refers to people who speak and criticize without really knowing what other people are living ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
987,Opinion or make a decision regarding something that is unknown or does not have a minimum notion is the highest level of ignorance ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,0.0
988,That we are ignorant when we reject what we do not know ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
989,We can lose a valuable opportunity in any area of life for rejecting something of what you know anything ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
990,The biggest ignorance act is arrogance ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
991,You are ignorant when you reject knowledge ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
992,It is inconceivable to reject something of which you have no knowledge. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
993,This makes us ignorant ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",0.0,0.0
994,Not knowing about something and still judging is a sign of ignorance. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,1.0
995,Ignorance is voluntary ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
996,He who is not willing to experience and leave his area of comfort will always live under the ignorance of the new ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
997,Think and analyze before talking. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
998,You must inform you before reviewing something. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
999,We must have an open mind to learn. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1000,When we reject something without knowing why this phenomenon we are neglecting the opportunity to meet you away from the surrounding prejudices. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1001,"When no unknown knowledge is accepted, we are being ignorant intentionally. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
1002,The rejected of knowledge is ignorance ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
1003,That when you reject something that you do not have knowledge you reach the highest degree of ignorance ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",5.0,1.0
1004,You do not have to judge without knowing. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
1005,"before rejecting, he knows ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1006,"If nothing is known, it is better to shut up. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
1007,Must be investigated and figure out before rejecting something ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1008,Rejecting what you do not know makes you ignorant. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
1009,You do not have to reject anything without first trying ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
1010,Do not talk about what is not known ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1011,You can not refuse something you do not know ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1012,It's ignorant to reject something without comfort ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
1013,Do not judge a book on your cover. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
1014,You must first know that it is about something there if you think. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1015,That the unknown should not be rejected ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1016,"That there is no bigger blind than he who does not want to see, when a person believes he know everything alone by inertia. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1017,"Knowing, investigating and thinking is important before acting. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1018,We can not comment on something we do not know. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
1019,this is to be an idiot simply ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",0.0,0.0
1020,Ignorance is not not knowing ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
1021,We must always learn from the unknown ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1022,You always have to respect the different points of view ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
1023,That by not knowing something and igornar that you do not know that makes you more ignorant ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.5,1.0
1024,It is more ignorant to issue a trial in front of something you do not know that you simply ignore it. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.5,1.0
1025,It is important to have an open mind to get out of ignorance ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
1026,"We should not judge, reject or accept something without knowing it. ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",3.0,0.0
1027,"Flee for not knowing nothing is the most ignorant thing that can be done, because you can learn from that experience ",6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",4.0,1.0
1028,it's a stupidity to think that you know them all ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",0.0,0.0
1029,Knowing that you do not know anything you can not comment ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",1.5,0.0
1030,I must know the situation to make a judgment on it ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
1031,He is more ignorant who refuses to learn something new to the one who says he does not know ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",5.0,1.0
1032,It is always necessary to have previous knowledge ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.0,0.0
1033,We must be open to new knowledge. ,6,Your highest level of ignorance is when you reject something of which you do not know anything. Of the text it is inferred that ,"When man rejects what is not known, it reaches the highest level of ignorance. ",2.5,0.0
